resource, consumer1, toxin, environment
12, 91, 16, -1
23, 43, 144, 1
31, 43, 132, 1
18, 53, 33, -1
17, 81, 29, -1
44, 19, 192, 1
19, 106, 19, -1
14, 53, 138, 1
30, 34, 130, 1
36, 27, 136, 1
19, 68, 27, -1
19, 63, 30, -1
43, 43, 156, 1
24, 60, 26, -1
10, 92, 18, -1
24, 34, 160, 1
21, 30, 135, 1
25, 54, 116, 1
17, 58, 158, 1
15, 80, 29, -1
41, 48, 166, 1
17, 79, 25, -1
35, 42, 155, 1
36, 75, 128, 1
26, 64, 20, -1
50, 34, 134, 1
28, 83, 22, -1
25, 43, 166, 1
29, 29, 143, 1
8, 86, 23, -1
10, 106, 10, -1
34, 25, 155, 1
16, 72, 17, -1
14, 94, 10, -1
36, 57, 140, 1
11, 81, 16, -1
16, 59, 17, -1
8, 70, 20, -1
15, 112, 23, -1
19, 63, 122, 1
16, 106, 20, -1
24, 72, 111, 1
9, 110, 11, -1
24, 77, 22, -1
21, 53, 144, 1
37, 55, 158, 1
31, 47, 180, 1
19, 46, 152, 1
21, 71, 20, -1
22, 39, 136, 1
38, 27, 164, 1
18, 61, 30, -1
22, 83, 21, -1
14, 81, 30, -1
31, 54, 141, 1
10, 93, 12, -1
33, 42, 151, 1
21, 48, 159, 1
18, 70, 25, -1
12, 83, 29, -1
22, 79, 24, -1
24, 95, 16, -1
15, 76, 21, -1
44, 37, 173, 1
32, 43, 168, 1
35, 36, 159, 1
17, 99, 17, -1
20, 59, 17, -1
10, 78, 20, -1
16, 93, 23, -1
36, 30, 160, 1
18, 105, 7, -1
17, 99, 25, -1
17, 75, 31, -1
11, 72, 17, -1
6, 95, 13, -1
18, 39, 152, 1
36, 37, 160, 1
23, 65, 25, -1
22, 76, 118, 1
21, 97, 16, -1
54, 11, 173, 1
39, 43, 159, 1
13, 71, 27, -1
23, 82, 18, -1
30, 32, 153, 1
30, 36, 149, 1
20, 86, 18, -1
43, 22, 200, 1
10, 72, 11, -1
9, 74, 22, -1
23, 54, 139, 1
26, 46, 159, 1
19, 73, 124, 1
28, 43, 143, 1
18, 64, 149, 1
35, 53, 145, 1
32, 68, 135, 1
13, 103, 20, -1
7, 112, 15, -1
25, 40, 141, 1
17, 78, 19, -1
32, 32, 155, 1
42, 29, 174, 1
14, 48, 118, 1
18, 45, 132, 1
