resource, consumer1, toxin, environment
43, 0, 128, -1
51, 0, 120, -1
20, 97, 27, 1
37, 96, 23, 1
45, 0, 122, -1
59, 0, 130, -1
50, 0, 131, -1
44, 0, 141, -1
24, 83, 27, 1
43, 0, 123, -1
43, 0, 118, -1
50, 0, 133, -1
27, 75, 25, 1
55, 0, 136, -1
46, 0, 115, -1
51, 0, 129, -1
53, 0, 119, -1
38, 0, 132, -1
221, 0, 122, 1
53, 0, 128, -1
189, 0, 118, 1
34, 62, 34, 1
38, 0, 134, -1
44, 0, 112, -1
62, 0, 140, -1
53, 0, 116, -1
21, 105, 36, 1
48, 0, 128, -1
19, 91, 25, 1
226, 0, 106, 1
52, 44, 57, 1
22, 107, 20, 1
31, 75, 37, 1
43, 0, 120, -1
29, 0, 144, -1
32, 71, 34, 1
24, 78, 39, 1
59, 0, 102, -1
54, 0, 127, -1
188, 0, 112, 1
33, 77, 31, 1
33, 87, 28, 1
226, 0, 134, 1
24, 86, 32, 1
47, 59, 39, 1
40, 73, 50, 1
37, 77, 30, 1
23, 104, 28, 1
224, 0, 140, 1
44, 0, 127, -1
49, 0, 127, -1
41, 0, 125, -1
39, 50, 51, 1
60, 0, 132, -1
34, 62, 45, 1
21, 98, 28, 1
20, 7, 80, -1
55, 0, 113, -1
53, 56, 43, 1
27, 66, 34, 1
44, 55, 42, 1
20, 96, 30, 1
32, 76, 27, 1
27, 75, 42, 1
39, 0, 124, -1
24, 114, 22, 1
58, 0, 112, -1
206, 0, 129, 1
59, 0, 135, -1
41, 64, 35, 1
40, 0, 112, -1
40, 84, 37, 1
46, 0, 127, -1
207, 0, 129, 1
184, 0, 133, 1
51, 0, 126, -1
36, 88, 22, 1
52, 0, 122, -1
48, 0, 122, -1
31, 103, 39, 1
23, 2, 82, -1
30, 73, 36, 1
204, 0, 116, 1
54, 0, 114, -1
53, 0, 116, -1
163, 0, 119, 1
211, 0, 112, 1
50, 0, 125, -1
27, 67, 40, 1
20, 98, 29, 1
172, 0, 114, 1
24, 67, 34, 1
54, 0, 129, -1
