trial, S1, S2, R, T, xi
503,0,0,55,130,-1 
504,0,0,56,128,-1 
505,0,56,42,29,1 
506,0,0,46,126,-1 
507,0,70,25,21,1 
508,34,0,71,50,1 
509,0,0,46,101,-1 
510,0,39,73,47,1 
511,0,0,49,135,-1 
512,0,0,49,138,-1 
513,32,0,41,53,1 
514,29,29,37,22,1 
515,0,122,19,14,1 
516,26,27,42,25,1 
517,0,0,211,139,1 
518,0,0,199,123,1 
519,0,0,47,107,-1 
520,0,76,30,18,1 
521,0,0,177,109,1 
522,74,9,34,19,1 
523,0,0,50,103,-1 
524,0,0,52,124,-1 
525,0,59,29,38,1 
526,21,58,28,15,1 
527,0,0,41,131,-1 
528,79,0,24,24,1 
529,0,0,42,134,-1 
530,0,0,41,132,-1 
531,0,0,61,129,-1 
532,9,43,33,34,1 
533,0,0,53,119,-1 
534,0,0,53,123,-1 
535,0,0,56,113,-1 
536,0,0,46,132,-1 
537,48,0,36,16,1 
538,36,27,51,29,1 
539,0,0,69,115,-1 
540,0,0,46,139,-1 
541,61,0,28,20,1 
542,50,0,76,39,1 
543,40,1,38,39,1 
544,0,0,174,128,1 
545,0,57,41,27,1 
546,0,0,55,123,-1 
547,0,0,210,116,1 
548,0,0,46,104,-1 
549,115,0,30,13,1 
550,0,66,32,22,1 
551,87,0,22,10,1 
552,0,0,60,127,-1 
553,0,0,51,140,-1 
554,0,93,24,12,1 
555,103,0,24,16,1 
556,0,41,42,32,1 
557,0,41,77,53,-1 
558,0,0,62,119,-1 
559,0,99,24,17,1 
560,0,0,208,132,1 
561,29,0,62,50,1 
562,0,59,28,29,1 
563,0,0,41,114,-1 
564,0,0,46,143,-1 
565,49,0,31,25,1 
566,0,25,77,48,1 
567,29,51,34,17,1 
568,69,0,35,23,1 
569,82,0,15,21,1 
570,0,0,52,118,-1 
571,0,0,46,122,-1 
572,0,0,43,119,-1 
573,0,72,21,21,1 
574,0,0,45,123,-1 
575,0,0,60,112,-1 
576,0,0,52,137,-1 
577,0,0,46,110,-1 
578,0,0,46,140,-1 
579,68,0,36,29,1 
580,17,34,34,34,1 
581,0,0,192,125,1 
582,0,0,51,129,-1 
583,82,0,28,18,1 
584,0,0,53,142,-1 
585,0,67,42,28,1 
586,0,0,49,140,-1 
587,89,0,21,18,1 
588,52,0,55,42,1 
589,0,0,61,126,-1 
590,0,0,66,123,-1 
591,63,0,39,26,1 
592,0,69,23,24,1 
593,0,46,41,40,1 
594,39,43,34,13,1 
