time, resource, consumer1, consumer2, toxin, environment
3.656, 99, 14, 26, 101, 1
3.658, 99, 13, 26, 101, 1
3.667, 99, 12, 26, 101, 1
3.675, 100, 12, 26, 101, 1
3.676, 100, 12, 25, 101, 1
3.677, 100, 12, 25, 101, -1
3.683, 100, 12, 25, 102, -1
3.684, 100, 12, 26, 102, -1
3.685, 100, 11, 26, 102, -1
3.692, 100, 11, 26, 101, -1
3.719, 100, 11, 25, 101, -1
3.736, 100, 11, 25, 100, -1
3.741, 99, 11, 25, 100, -1
3.747, 98, 11, 25, 100, -1
3.752, 97, 11, 25, 100, -1
3.765, 97, 11, 25, 100, 1
3.774, 98, 11, 25, 100, 1
3.782, 97, 11, 25, 100, 1
3.784, 98, 11, 25, 100, 1
3.788, 97, 11, 25, 100, 1
3.792, 97, 11, 25, 100, -1
3.796, 97, 11, 25, 100, 1
3.809, 98, 11, 25, 100, 1
3.828, 98, 12, 25, 100, 1
3.842, 98, 12, 25, 101, 1
3.876, 98, 12, 26, 101, 1
3.890, 98, 12, 26, 100, 1
3.892, 98, 12, 26, 100, -1
3.897, 98, 12, 26, 100, 1
3.900, 99, 12, 26, 100, 1
3.944, 98, 12, 26, 100, 1
3.947, 99, 12, 26, 100, 1
3.966, 99, 13, 26, 100, 1
3.971, 99, 12, 26, 100, 1
3.975, 98, 12, 26, 100, 1
3.979, 98, 12, 26, 101, 1
4.018, 99, 12, 26, 101, 1
4.018, 99, 12, 26, 100, 1
4.031, 99, 12, 26, 101, 1
4.046, 99, 12, 26, 102, 1
4.099, 98, 12, 26, 102, 1
4.122, 98, 12, 27, 102, 1
4.128, 97, 12, 27, 102, 1
4.154, 96, 12, 27, 102, 1
4.170, 95, 12, 27, 102, 1
4.173, 95, 12, 28, 102, 1
4.180, 96, 12, 28, 102, 1
4.201, 97, 12, 28, 102, 1
4.210, 96, 12, 28, 102, 1
4.221, 96, 12, 29, 102, 1
4.222, 96, 12, 29, 101, 1
4.224, 95, 12, 29, 101, 1
4.277, 94, 12, 29, 101, 1
4.278, 94, 12, 30, 101, 1
4.305, 94, 12, 30, 100, 1
4.325, 95, 12, 30, 100, 1
4.326, 95, 12, 30, 99, 1
4.334, 95, 13, 30, 99, 1
4.338, 94, 13, 30, 99, 1
4.347, 94, 13, 30, 98, 1
4.363, 93, 13, 30, 98, 1
4.364, 92, 13, 30, 98, 1
4.367, 92, 13, 29, 98, 1
4.374, 92, 13, 30, 98, 1
4.377, 92, 13, 29, 98, 1
4.398, 93, 13, 29, 98, 1
4.405, 93, 13, 28, 98, 1
4.411, 94, 13, 28, 98, 1
4.419, 94, 13, 28, 99, 1
4.426, 94, 13, 27, 99, 1
4.440, 94, 13, 27, 100, 1
4.443, 94, 14, 27, 100, 1
4.447, 94, 14, 27, 100, -1
4.452, 94, 14, 28, 100, -1
4.459, 94, 14, 29, 100, -1
4.464, 94, 14, 29, 99, -1
4.470, 94, 14, 29, 98, -1
4.472, 94, 14, 29, 98, 1
4.475, 95, 14, 29, 98, 1
4.489, 95, 14, 30, 98, 1
4.490, 95, 14, 29, 98, 1
4.501, 94, 14, 29, 98, 1
4.503, 93, 14, 29, 98, 1
4.504, 93, 14, 29, 98, -1
4.505, 93, 15, 29, 98, -1
4.508, 93, 15, 29, 99, -1
4.511, 92, 15, 29, 99, -1
4.549, 91, 15, 29, 99, -1
4.565, 90, 15, 29, 99, -1
4.579, 90, 15, 30, 99, -1
4.580, 91, 15, 30, 99, -1
4.581, 91, 14, 30, 99, -1
4.614, 90, 14, 30, 99, -1
4.620, 90, 15, 30, 99, -1
4.630, 90, 15, 30, 100, -1
4.634, 91, 15, 30, 100, -1
4.649, 91, 15, 30, 99, -1
4.669, 91, 15, 30, 99, 1
4.686, 91, 15, 31, 99, 1
4.710, 91, 14, 31, 99, 1
4.720, 91, 15, 31, 99, 1
4.722, 92, 15, 31, 99, 1
4.730, 92, 14, 31, 99, 1
4.738, 92, 14, 32, 99, 1
4.739, 92, 14, 31, 99, 1
4.745, 92, 14, 32, 99, 1
4.748, 92, 15, 32, 99, 1
4.752, 93, 15, 32, 99, 1
4.767, 94, 15, 32, 99, 1
4.775, 94, 15, 32, 99, -1
4.807, 94, 16, 32, 99, -1
4.816, 93, 16, 32, 99, -1
4.821, 92, 16, 32, 99, -1
4.824, 91, 16, 32, 99, -1
4.825, 90, 16, 32, 99, -1
4.827, 90, 16, 33, 99, -1
4.838, 90, 16, 33, 98, -1
4.843, 89, 16, 33, 98, -1
4.849, 89, 15, 33, 98, -1
4.855, 89, 16, 33, 98, -1
4.868, 89, 16, 33, 97, -1
4.876, 88, 16, 33, 97, -1
4.884, 88, 15, 33, 97, -1
4.887, 88, 15, 33, 97, 1
4.889, 87, 15, 33, 97, 1
4.890, 87, 15, 33, 96, 1
4.894, 86, 15, 33, 96, 1
4.897, 86, 15, 32, 96, 1
4.909, 86, 15, 32, 96, -1
4.911, 85, 15, 32, 96, -1
4.913, 85, 15, 32, 95, -1
4.920, 84, 15, 32, 95, -1
4.922, 84, 14, 32, 95, -1
4.929, 84, 13, 32, 95, -1
4.939, 83, 13, 32, 95, -1
4.946, 82, 13, 32, 95, -1
4.953, 83, 13, 32, 95, -1
4.956, 83, 13, 32, 96, -1
4.972, 83, 13, 32, 95, -1
4.972, 83, 13, 32, 94, -1
4.977, 83, 13, 32, 95, -1
4.984, 83, 13, 32, 96, -1
4.988, 83, 13, 32, 95, -1
5.025, 83, 13, 32, 95, 1
5.046, 84, 13, 32, 95, 1
5.047, 84, 13, 31, 95, 1
5.062, 84, 13, 30, 95, 1
5.084, 83, 13, 30, 95, 1
5.085, 84, 13, 30, 95, 1
5.086, 84, 13, 30, 94, 1
5.087, 84, 13, 30, 95, 1
5.093, 84, 12, 30, 95, 1
5.094, 84, 12, 30, 95, -1
5.104, 84, 12, 31, 95, -1
5.106, 83, 12, 31, 95, -1
5.116, 83, 12, 32, 95, -1
5.121, 82, 12, 32, 95, -1
5.126, 82, 12, 32, 95, 1
5.148, 82, 11, 32, 95, 1
5.152, 83, 11, 32, 95, 1
5.153, 83, 11, 33, 95, 1
5.161, 83, 11, 33, 96, 1
5.163, 82, 11, 33, 96, 1
5.199, 83, 11, 33, 96, 1
5.202, 83, 11, 33, 97, 1
5.240, 83, 11, 34, 97, 1
5.251, 82, 11, 34, 97, 1
5.264, 82, 11, 33, 97, 1
5.269, 81, 11, 33, 97, 1
5.297, 82, 11, 33, 97, 1
5.308, 81, 11, 33, 97, 1
5.310, 80, 11, 33, 97, 1
5.313, 79, 11, 33, 97, 1
5.325, 79, 11, 33, 97, -1
5.325, 78, 11, 33, 97, -1
5.329, 78, 11, 33, 96, -1
5.340, 78, 11, 34, 96, -1
5.347, 78, 11, 34, 95, -1
5.347, 77, 11, 34, 95, -1
5.348, 77, 11, 34, 95, 1
5.353, 78, 11, 34, 95, 1
5.358, 79, 11, 34, 95, 1
5.361, 79, 11, 34, 95, -1
5.364, 80, 11, 34, 95, -1
5.366, 80, 11, 34, 94, -1
5.378, 79, 11, 34, 94, -1
5.382, 78, 11, 34, 94, -1
5.402, 78, 11, 34, 93, -1
5.413, 79, 11, 34, 93, -1
5.436, 79, 11, 34, 92, -1
5.447, 79, 11, 34, 91, -1
5.457, 79, 11, 35, 91, -1
5.458, 78, 11, 35, 91, -1
5.473, 77, 11, 35, 91, -1
5.489, 77, 11, 35, 90, -1
5.499, 77, 11, 35, 90, 1
5.502, 77, 11, 35, 89, 1
5.510, 77, 11, 35, 88, 1
5.518, 78, 11, 35, 88, 1
5.558, 77, 11, 35, 88, 1
5.572, 76, 11, 35, 88, 1
5.603, 77, 11, 35, 88, 1
5.610, 78, 11, 35, 88, 1
5.610, 77, 11, 35, 88, 1
5.612, 77, 11, 35, 87, 1
5.613, 78, 11, 35, 87, 1
5.613, 78, 11, 36, 87, 1
5.614, 78, 11, 37, 87, 1
5.652, 79, 11, 37, 87, 1
5.669, 80, 11, 37, 87, 1
5.683, 80, 11, 37, 87, -1
5.688, 79, 11, 37, 87, -1
5.692, 79, 11, 38, 87, -1
5.699, 79, 11, 38, 86, -1
5.700, 79, 11, 39, 86, -1
5.705, 78, 11, 39, 86, -1
5.734, 79, 11, 39, 86, -1
5.750, 79, 11, 39, 85, -1
5.759, 79, 11, 39, 86, -1
5.763, 78, 11, 39, 86, -1
5.763, 79, 11, 39, 86, -1
5.763, 79, 11, 40, 86, -1
5.779, 79, 11, 40, 85, -1
5.792, 79, 11, 39, 85, -1
5.799, 78, 11, 39, 85, -1
5.806, 78, 11, 39, 84, -1
5.810, 78, 11, 39, 83, -1
5.813, 77, 11, 39, 83, -1
5.824, 77, 11, 38, 83, -1
5.826, 77, 11, 38, 82, -1
5.831, 77, 11, 37, 82, -1
5.845, 76, 11, 37, 82, -1
5.846, 76, 11, 37, 82, 1
5.851, 76, 11, 37, 82, -1
5.851, 76, 11, 37, 83, -1
5.858, 76, 11, 37, 83, 1
5.870, 76, 11, 37, 83, -1
5.878, 76, 11, 37, 83, 1
5.887, 76, 11, 37, 82, 1
5.901, 77, 11, 37, 82, 1
5.902, 77, 12, 37, 82, 1
5.908, 76, 12, 37, 82, 1
5.912, 77, 12, 37, 82, 1
5.923, 78, 12, 37, 82, 1
5.928, 78, 12, 38, 82, 1
5.936, 78, 13, 38, 82, 1
5.940, 79, 13, 38, 82, 1
5.943, 80, 13, 38, 82, 1
5.945, 80, 13, 38, 81, 1
5.955, 80, 13, 38, 80, 1
5.960, 81, 13, 38, 80, 1
5.968, 80, 13, 38, 80, 1
5.972, 80, 13, 37, 80, 1
5.972, 80, 13, 37, 79, 1
5.979, 80, 14, 37, 79, 1
5.979, 80, 14, 37, 80, 1
5.981, 79, 14, 37, 80, 1
5.982, 79, 14, 36, 80, 1
5.984, 79, 14, 36, 79, 1
6.001, 79, 14, 37, 79, 1
6.010, 78, 14, 37, 79, 1
6.017, 79, 14, 37, 79, 1
6.041, 79, 14, 38, 79, 1
6.041, 79, 14, 39, 79, 1
6.048, 78, 14, 39, 79, 1
6.053, 78, 14, 39, 78, 1
6.053, 78, 14, 39, 77, 1
6.069, 77, 14, 39, 77, 1
6.079, 76, 14, 39, 77, 1
6.082, 75, 14, 39, 77, 1
6.086, 75, 14, 39, 78, 1
6.087, 74, 14, 39, 78, 1
6.088, 74, 14, 38, 78, 1
6.089, 75, 14, 38, 78, 1
6.090, 75, 14, 38, 79, 1
6.091, 76, 14, 38, 79, 1
6.091, 76, 14, 38, 78, 1
6.097, 77, 14, 38, 78, 1
6.106, 77, 14, 38, 77, 1
6.115, 77, 14, 39, 77, 1
6.120, 77, 14, 38, 77, 1
6.133, 77, 14, 38, 78, 1
6.136, 77, 14, 38, 77, 1
6.137, 78, 14, 38, 77, 1
6.143, 78, 13, 38, 77, 1
6.146, 78, 13, 38, 77, -1
6.154, 77, 13, 38, 77, -1
6.167, 77, 13, 37, 77, -1
6.168, 76, 13, 37, 77, -1
6.179, 75, 13, 37, 77, -1
6.181, 75, 13, 37, 77, 1
6.186, 76, 13, 37, 77, 1
6.197, 76, 14, 37, 77, 1
6.206, 76, 14, 37, 78, 1
6.207, 76, 14, 38, 78, 1
6.221, 75, 14, 38, 78, 1
6.228, 75, 14, 38, 77, 1
6.244, 75, 14, 39, 77, 1
6.247, 76, 14, 39, 77, 1
6.251, 76, 14, 40, 77, 1
6.258, 75, 14, 40, 77, 1
6.263, 74, 14, 40, 77, 1
6.270, 73, 14, 40, 77, 1
6.272, 73, 14, 41, 77, 1
6.275, 73, 14, 41, 76, 1
6.289, 73, 13, 41, 76, 1
6.299, 72, 13, 41, 76, 1
6.306, 73, 13, 41, 76, 1
6.313, 73, 13, 41, 75, 1
6.322, 74, 13, 41, 75, 1
6.323, 74, 13, 41, 75, -1
6.339, 73, 13, 41, 75, -1
6.353, 73, 13, 40, 75, -1
6.376, 72, 13, 40, 75, -1
6.382, 73, 13, 40, 75, -1
6.392, 73, 13, 40, 75, 1
6.400, 73, 12, 40, 75, 1
6.403, 73, 12, 39, 75, 1
6.409, 73, 12, 39, 75, -1
6.409, 73, 12, 40, 75, -1
6.417, 73, 12, 41, 75, -1
6.417, 73, 12, 42, 75, -1
6.419, 74, 12, 42, 75, -1
6.423, 74, 11, 42, 75, -1
6.453, 73, 11, 42, 75, -1
6.460, 73, 11, 42, 75, 1
6.464, 73, 11, 42, 75, -1
6.501, 72, 11, 42, 75, -1
6.505, 72, 11, 42, 76, -1
6.507, 72, 11, 41, 76, -1
6.512, 72, 11, 41, 77, -1
6.525, 71, 11, 41, 77, -1
6.555, 70, 11, 41, 77, -1
6.575, 70, 11, 42, 77, -1
6.583, 70, 11, 43, 77, -1
6.597, 70, 11, 43, 77, 1
6.599, 70, 11, 43, 78, 1
6.605, 71, 11, 43, 78, 1
6.644, 71, 11, 44, 78, 1
6.656, 70, 11, 44, 78, 1
6.662, 69, 11, 44, 78, 1
6.666, 68, 11, 44, 78, 1
6.669, 68, 10, 44, 78, 1
6.671, 68, 10, 44, 78, -1
6.676, 68, 10, 44, 78, 1
6.690, 69, 10, 44, 78, 1
6.695, 69, 11, 44, 78, 1
6.700, 68, 11, 44, 78, 1
6.709, 68, 11, 44, 78, -1
6.711, 68, 11, 45, 78, -1
6.725, 68, 11, 45, 78, 1
6.742, 69, 11, 45, 78, 1
6.753, 68, 11, 45, 78, 1
6.754, 68, 11, 46, 78, 1
6.757, 68, 11, 47, 78, 1
6.758, 68, 11, 47, 77, 1
6.770, 69, 11, 47, 77, 1
6.792, 69, 11, 48, 77, 1
6.794, 69, 11, 49, 77, 1
6.814, 70, 11, 49, 77, 1
6.816, 71, 11, 49, 77, 1
6.818, 71, 11, 49, 78, 1
6.848, 71, 11, 49, 79, 1
