time, resource, consumer1, consumer2, toxin, environment
6.657, 27, 41, 33, 90, -1
6.659, 27, 41, 33, 89, -1
6.659, 27, 41, 34, 89, -1
6.700, 27, 41, 35, 89, -1
6.705, 26, 41, 35, 89, -1
6.709, 26, 41, 35, 90, -1
6.717, 27, 41, 35, 90, -1
6.734, 27, 41, 35, 89, -1
6.762, 28, 41, 35, 89, -1
6.765, 28, 41, 35, 90, -1
6.777, 28, 41, 35, 89, -1
6.780, 28, 41, 35, 90, -1
6.784, 28, 42, 35, 90, -1
6.784, 28, 42, 36, 90, -1
6.790, 28, 42, 36, 91, -1
6.799, 27, 42, 36, 91, -1
6.800, 27, 43, 36, 91, -1
6.804, 27, 43, 37, 91, -1
6.805, 27, 44, 37, 91, -1
6.809, 27, 44, 36, 91, -1
6.820, 27, 44, 36, 92, -1
6.824, 27, 44, 36, 91, -1
6.826, 27, 44, 36, 92, -1
6.839, 27, 44, 36, 93, -1
6.849, 27, 44, 36, 94, -1
6.852, 27, 44, 36, 95, -1
6.868, 27, 44, 35, 95, -1
6.888, 26, 44, 35, 95, -1
6.895, 25, 44, 35, 95, -1
6.901, 25, 43, 35, 95, -1
6.927, 25, 43, 35, 96, -1
6.939, 25, 43, 35, 95, -1
6.949, 25, 43, 35, 94, -1
6.957, 25, 43, 36, 94, -1
6.959, 25, 43, 36, 93, -1
6.968, 25, 43, 36, 94, -1
6.978, 24, 43, 36, 94, -1
6.978, 24, 44, 36, 94, -1
6.986, 24, 44, 37, 94, -1
6.986, 23, 44, 37, 94, -1
7.046, 23, 44, 37, 93, -1
7.049, 22, 44, 37, 93, -1
7.064, 21, 44, 37, 93, -1
7.066, 20, 44, 37, 93, -1
7.068, 20, 44, 37, 92, -1
7.070, 19, 44, 37, 92, -1
7.079, 19, 44, 37, 93, -1
7.090, 19, 44, 36, 93, -1
7.099, 19, 44, 36, 94, -1
7.103, 18, 44, 36, 94, -1
7.118, 18, 44, 36, 95, -1
7.120, 18, 44, 36, 96, -1
7.122, 18, 44, 36, 95, -1
7.130, 18, 45, 36, 95, -1
7.131, 18, 45, 36, 94, -1
7.139, 18, 45, 36, 93, -1
7.262, 18, 45, 36, 92, -1
7.267, 18, 45, 36, 93, -1
7.277, 17, 45, 36, 93, -1
7.279, 17, 45, 36, 92, -1
7.299, 17, 45, 36, 91, -1
7.300, 17, 45, 36, 90, -1
7.301, 17, 44, 36, 90, -1
7.315, 17, 44, 36, 89, -1
7.316, 17, 44, 36, 88, -1
7.374, 17, 45, 36, 88, -1
7.398, 16, 45, 36, 88, -1
7.400, 16, 46, 36, 88, -1
7.446, 16, 46, 36, 89, -1
7.447, 16, 45, 36, 89, -1
7.464, 16, 45, 36, 90, -1
7.487, 15, 45, 36, 90, -1
7.488, 15, 45, 36, 89, -1
7.502, 15, 45, 35, 89, -1
7.503, 15, 44, 35, 89, -1
7.523, 15, 44, 35, 90, -1
7.524, 15, 43, 35, 90, -1
7.533, 15, 43, 35, 89, -1
7.542, 15, 44, 35, 89, -1
7.552, 15, 44, 35, 90, -1
7.625, 15, 45, 35, 90, -1
7.642, 15, 44, 35, 90, -1
7.652, 16, 44, 35, 90, -1
7.655, 16, 44, 35, 89, -1
7.677, 16, 44, 35, 88, -1
7.678, 16, 44, 35, 87, -1
7.695, 16, 43, 35, 87, -1
7.696, 16, 43, 35, 86, -1
7.698, 16, 43, 35, 85, -1
7.730, 15, 43, 35, 85, -1
7.738, 15, 43, 34, 85, -1
7.753, 14, 43, 34, 85, -1
7.756, 13, 43, 34, 85, -1
7.760, 13, 43, 34, 86, -1
7.763, 13, 42, 34, 86, -1
7.778, 13, 42, 34, 85, -1
7.796, 13, 42, 34, 86, -1
7.824, 13, 41, 34, 86, -1
7.826, 13, 41, 34, 87, -1
7.829, 13, 42, 34, 87, -1
7.838, 13, 42, 35, 87, -1
7.846, 12, 42, 35, 87, -1
7.857, 11, 42, 35, 87, -1
7.865, 11, 43, 35, 87, -1
7.870, 11, 44, 35, 87, -1
7.871, 11, 44, 35, 88, -1
7.896, 11, 43, 35, 88, -1
7.910, 11, 42, 35, 88, -1
7.911, 11, 42, 34, 88, -1
7.936, 11, 42, 33, 88, -1
7.948, 11, 42, 34, 88, -1
7.948, 11, 42, 34, 87, -1
7.967, 10, 42, 34, 87, -1
7.968, 10, 42, 34, 86, -1
7.982, 10, 42, 34, 87, -1
7.984, 10, 42, 34, 86, -1
7.998, 10, 42, 34, 85, -1
8.008, 10, 41, 34, 85, -1
8.009, 10, 41, 34, 84, -1
8.009, 10, 41, 34, 85, -1
8.011, 10, 41, 34, 84, -1
8.028, 10, 41, 33, 84, -1
8.034, 10, 41, 33, 83, -1
8.038, 10, 41, 33, 82, -1
8.049, 10, 42, 33, 82, -1
8.074, 9, 42, 33, 82, -1
8.075, 9, 43, 33, 82, -1
8.112, 9, 43, 33, 81, -1
8.141, 8, 43, 33, 81, -1
8.172, 8, 42, 33, 81, -1
8.185, 8, 42, 32, 81, -1
8.185, 8, 42, 32, 80, -1
8.197, 9, 42, 32, 80, -1
8.208, 9, 42, 32, 79, -1
8.219, 9, 42, 32, 78, -1
8.225, 9, 42, 32, 77, -1
8.251, 10, 42, 32, 77, -1
8.261, 9, 42, 32, 77, -1
8.270, 9, 41, 32, 77, -1
8.284, 8, 41, 32, 77, -1
8.331, 8, 41, 32, 76, -1
8.338, 8, 41, 32, 77, -1
8.341, 8, 41, 32, 76, -1
8.389, 8, 40, 32, 76, -1
8.462, 8, 40, 32, 75, -1
8.499, 8, 40, 33, 75, -1
8.526, 8, 39, 33, 75, -1
8.544, 8, 39, 33, 74, -1
8.549, 7, 39, 33, 74, -1
8.550, 7, 39, 32, 74, -1
8.556, 7, 38, 32, 74, -1
8.568, 7, 37, 32, 74, -1
8.641, 6, 37, 32, 74, -1
8.660, 6, 36, 32, 74, -1
8.674, 6, 37, 32, 74, -1
8.689, 6, 37, 31, 74, -1
