trial, S1, S2, R, T, xi
580,41,14,22,75,-1 
581,11,42,36,85,1 
582,33,39,21,68,-1 
583,26,24,32,95,-1 
584,45,0,29,87,1 
585,0,64,20,65,1 
586,70,0,16,64,1 
587,0,80,11,56,-1 
588,1,61,12,58,-1 
589,0,43,25,85,-1 
590,0,58,38,73,1 
591,39,19,22,103,1 
592,0,43,19,76,1 
593,6,46,21,93,1 
594,21,4,42,85,1 
595,0,39,35,80,1 
596,0,33,35,91,1 
597,0,56,24,69,-1 
598,47,9,21,63,1 
599,22,37,18,75,-1 
600,0,60,22,84,-1 
601,28,24,22,98,1 
602,67,2,24,96,1 
603,0,87,30,53,-1 
604,0,49,24,87,1 
605,33,0,25,92,-1 
606,0,43,31,77,1 
607,16,42,24,70,-1 
608,0,21,28,72,-1 
609,47,0,29,66,1 
610,4,47,26,100,1 
611,31,2,23,73,-1 
612,58,0,31,97,-1 
613,64,0,23,61,1 
614,76,0,16,65,1 
615,58,0,27,89,-1 
616,5,54,32,72,-1 
617,31,0,43,102,1 
618,0,42,29,81,-1 
619,4,20,45,89,-1 
620,15,9,36,92,1 
621,0,75,17,52,1 
622,40,15,17,77,-1 
623,0,62,30,82,1 
624,46,0,32,64,-1 
625,27,0,44,105,1 
626,0,66,17,63,-1 
627,50,0,26,73,1 
628,30,27,17,76,1 
629,71,0,29,52,-1 
630,0,57,19,79,-1 
631,0,47,29,85,1 
632,46,0,26,98,-1 
633,25,0,37,82,-1 
634,0,42,20,78,-1 
635,67,0,21,83,1 
636,34,32,35,100,-1 
637,27,58,15,61,1 
638,0,50,30,67,1 
639,0,55,30,72,1 
640,0,48,24,89,1 
641,0,49,23,77,1 
642,51,0,31,82,-1 
643,55,0,13,68,-1 
644,62,0,19,68,-1 
645,6,45,42,63,-1 
646,53,0,23,79,1 
647,73,0,18,65,1 
648,45,0,21,93,-1 
649,0,56,17,72,-1 
650,39,0,40,87,-1 
651,10,44,26,67,-1 
652,48,0,21,70,-1 
653,36,0,28,82,-1 
654,57,0,22,65,-1 
655,0,50,22,75,-1 
656,11,38,19,80,-1 
657,50,0,24,106,1 
658,4,51,20,73,1 
659,45,0,27,61,1 
660,0,49,23,71,1 
661,0,62,19,89,1 
662,0,50,28,75,1 
663,44,5,29,94,-1 
664,3,24,23,102,1 
665,95,0,16,81,-1 
666,0,47,26,76,1 
667,49,0,21,76,1 
668,0,41,26,97,1 
669,27,9,33,88,-1 
670,0,55,24,90,1 
671,37,0,24,87,1 
672,62,0,20,58,-1 
673,43,0,21,89,1 
674,44,0,28,84,-1 
675,0,62,19,66,1 
676,39,0,29,82,-1 
677,0,38,21,94,-1 
678,53,0,16,83,1 
679,0,57,18,78,-1 
680,0,63,15,62,1 
681,23,19,28,81,1 
682,0,67,34,72,-1 
683,55,8,19,70,-1 
684,9,31,20,91,1 
685,38,0,27,91,-1 
686,50,0,19,70,-1 
687,55,0,20,85,-1 
688,32,23,31,84,-1 
689,67,8,21,94,1 
690,37,0,35,86,-1 
691,27,43,18,69,-1 
692,0,65,19,72,1 
693,0,50,30,67,-1 
694,6,36,23,81,1 
695,0,44,17,90,1 
696,20,29,27,83,-1 
697,52,18,19,61,-1 
698,0,64,16,79,1 
699,17,33,17,84,1 
700,7,38,16,87,1 
701,47,0,25,100,-1 
702,1,54,19,79,-1 
703,53,0,17,74,1 
704,82,0,17,82,1 
705,0,35,25,91,1 
706,47,8,31,81,-1 
707,33,25,31,79,1 
708,26,29,23,93,1 
709,18,34,14,59,-1 
710,0,33,42,78,1 
711,30,26,28,89,1 
712,2,57,23,75,1 
713,55,0,20,49,-1 
714,0,49,18,93,1 
715,34,14,25,105,1 
716,62,5,16,76,1 
717,40,13,23,81,-1 
718,47,3,35,79,-1 
719,40,16,12,79,1 
720,24,28,20,79,1 
721,2,64,25,74,-1 
722,12,62,25,63,1 
723,0,44,22,69,-1 
724,0,47,26,90,-1 
725,0,47,23,78,-1 
726,52,0,21,97,1 
727,37,10,28,72,-1 
728,0,43,20,85,1 
729,62,0,21,72,1 
730,4,57,16,75,1 
731,66,0,21,88,-1 
732,43,0,38,84,-1 
733,0,57,20,81,-1 
734,59,0,20,73,1 
735,47,0,31,71,-1 
736,0,51,22,74,-1 
737,0,82,12,64,-1 
738,28,3,41,77,1 
739,35,17,23,63,1 
740,0,49,24,74,-1 
741,0,46,42,69,1 
742,0,70,17,77,-1 
743,52,0,19,68,-1 
744,43,0,25,76,1 
745,59,0,27,68,1 
746,50,0,21,97,1 
747,63,0,28,78,1 
748,0,48,22,77,-1 
749,0,64,28,76,1 
750,41,0,21,78,1 
751,10,44,39,93,-1 
752,0,61,27,71,1 
753,0,32,30,84,-1 
754,74,0,14,70,-1 
755,44,16,21,74,1 
756,0,55,23,76,1 
757,12,24,28,89,1 
758,12,36,24,78,1 
759,0,85,18,73,1 
760,51,0,17,72,-1 
761,15,37,21,70,1 
762,11,38,21,79,1 
763,56,0,33,77,-1 
764,66,1,11,68,1 
765,18,30,26,78,-1 
766,68,0,34,52,-1 
767,30,37,24,97,1 
768,43,22,17,78,-1 
769,48,0,25,64,-1 
770,0,72,15,59,-1 
771,0,60,7,60,1 
772,69,0,22,60,-1 
773,67,0,36,67,-1 
774,41,0,38,76,-1 
775,47,0,17,58,-1 
776,32,21,22,84,1 
777,8,46,20,74,-1 
778,39,3,24,83,-1 
779,0,41,33,100,-1 
780,0,72,29,64,-1 
781,37,0,38,99,-1 
782,74,0,9,58,1 
783,0,52,13,85,-1 
784,33,29,13,60,-1 
785,13,42,26,77,1 
786,0,46,25,81,1 
787,5,31,27,91,-1 
788,76,0,13,83,-1 
789,0,42,27,80,-1 
790,0,62,20,88,-1 
791,10,48,20,73,1 
792,0,65,24,84,1 
793,50,0,14,76,-1 
794,8,40,29,92,-1 
795,0,54,12,75,-1 
796,0,68,23,67,1 
797,0,29,36,87,1 
798,0,37,28,87,-1 
799,26,0,34,91,-1 
800,21,5,40,99,-1 
801,39,0,35,95,1 
802,0,36,19,81,-1 
803,50,0,14,68,-1 
804,28,6,34,92,-1 
805,28,24,25,84,1 
806,52,0,23,90,-1 
807,48,12,32,72,-1 
808,48,12,16,78,1 
809,0,42,26,101,-1 
810,34,42,22,59,1 
811,58,0,20,77,-1 
812,21,29,18,65,-1 
813,0,64,22,97,1 
814,36,0,22,91,-1 
815,47,0,37,81,1 
816,0,35,18,65,-1 
817,21,32,22,48,-1 
818,0,69,26,71,1 
819,0,47,15,78,-1 
820,65,0,29,90,-1 
821,0,51,12,86,-1 
822,63,0,19,81,1 
823,35,0,44,106,1 
824,0,48,23,69,-1 
825,69,0,12,57,1 
826,60,0,24,83,1 
827,0,56,22,85,-1 
828,64,0,29,85,-1 
829,30,20,27,80,1 
830,47,15,18,66,1 
831,9,31,18,66,1 
832,51,13,19,83,1 
833,47,0,23,85,1 
834,63,0,27,81,-1 
835,0,75,26,86,-1 
836,49,27,17,58,-1 
837,47,0,34,86,1 
838,0,66,18,80,1 
839,0,63,22,75,1 
840,45,22,18,73,1 
841,31,14,25,76,-1 
842,27,0,36,82,1 
843,26,0,27,86,1 
844,36,16,34,79,1 
845,0,48,16,65,1 
846,52,16,20,81,1 
847,0,54,26,70,-1 
848,9,51,20,77,-1 
849,0,87,18,76,1 
850,28,17,25,103,1 
851,59,0,21,69,1 
852,50,12,21,65,-1 
853,14,51,25,61,1 
854,14,42,35,104,1 
855,41,0,24,101,-1 
856,0,71,22,79,-1 
857,0,58,29,93,-1 
858,47,0,19,85,1 
859,42,0,24,84,-1 
860,0,45,41,95,1 
861,0,60,13,73,-1 
862,33,16,18,76,-1 
863,0,55,26,84,-1 
864,18,30,17,81,1 
865,61,15,18,87,-1 
866,55,0,25,95,-1 
867,50,7,32,98,1 
868,10,59,22,60,1 
869,0,57,26,64,-1 
870,4,36,23,74,-1 
871,0,34,25,85,-1 
872,17,20,40,92,-1 
873,74,0,14,69,1 
874,0,65,12,59,1 
875,55,0,30,74,1 
876,0,73,18,62,1 
877,57,0,19,71,-1 
878,58,0,14,90,-1 
879,0,58,32,79,1 
880,29,18,13,73,1 
881,51,10,13,60,1 
882,17,32,32,76,-1 
883,52,0,18,94,-1 
884,61,0,32,80,-1 
885,15,33,18,63,1 
886,37,0,32,95,-1 
887,0,73,28,89,1 
888,0,43,36,64,1 
889,53,0,22,68,-1 
890,0,73,21,61,1 
891,6,47,34,72,1 
892,54,0,16,69,-1 
893,56,0,25,94,-1 
894,48,0,28,78,1 
895,13,55,25,74,-1 
896,40,32,23,64,1 
897,0,105,10,44,1 
898,60,0,19,72,1 
899,0,70,13,47,1 
900,0,78,21,77,1 
901,68,0,20,69,1 
902,43,0,12,72,1 
903,59,0,27,61,1 
904,42,9,28,87,1 
905,0,78,9,64,1 
906,0,52,31,102,-1 
907,0,55,24,86,-1 
908,0,64,22,84,-1 
909,55,0,18,67,1 
910,47,8,27,73,1 
911,44,0,40,73,-1 
912,0,40,20,89,1 
913,31,0,25,91,1 
914,53,0,30,92,1 
915,65,0,37,63,1 
916,42,0,15,77,-1 
917,34,0,21,82,1 
918,0,47,24,73,-1 
919,12,18,17,99,-1 
920,50,0,24,96,1 
921,21,38,27,78,1 
922,49,0,22,83,1 
923,53,0,24,48,1 
924,5,35,31,93,-1 
925,0,76,19,76,1 
926,0,53,21,87,1 
927,45,0,25,79,-1 
928,55,1,33,76,-1 
929,37,0,41,87,1 
930,14,27,35,85,-1 
931,72,0,22,65,-1 
932,45,0,21,80,-1 
933,30,43,24,79,1 
934,0,46,16,91,-1 
935,38,3,21,79,1 
936,0,43,21,72,1 
937,0,67,20,72,1 
