trial, S1, S2, R, T, xi
915,0,0,46,125,-1 
916,83,0,21,18,1 
917,0,0,184,128,1 
918,95,0,28,13,1 
919,0,0,50,133,-1 
920,74,0,27,31,1 
921,0,0,205,139,1 
922,0,0,50,110,-1 
923,56,0,37,37,1 
924,0,0,202,129,1 
925,0,0,47,138,-1 
926,0,0,195,119,1 
927,0,0,49,122,-1 
928,105,0,18,20,1 
929,0,0,52,120,-1 
930,0,0,39,119,-1 
931,85,0,25,26,1 
932,0,0,50,122,-1 
933,0,0,53,122,-1 
934,0,0,55,138,-1 
935,0,0,202,114,1 
936,0,34,57,43,1 
937,101,0,15,17,1 
938,0,63,38,36,1 
939,0,0,42,107,-1 
940,10,50,27,31,1 
941,0,0,44,134,-1 
942,0,0,52,131,-1 
943,0,0,62,128,-1 
944,52,29,26,27,1 
945,64,0,44,22,1 
946,42,19,26,30,1 
947,0,0,52,120,-1 
948,0,0,62,122,-1 
949,0,0,52,118,-1 
950,0,0,201,127,1 
951,0,58,26,38,1 
952,0,0,49,130,-1 
953,0,0,186,120,1 
954,0,0,46,133,-1 
955,63,0,33,28,1 
956,63,20,26,23,1 
957,0,0,59,127,-1 
958,0,0,49,137,-1 
959,0,0,46,137,-1 
960,67,0,31,24,1 
961,0,0,50,109,-1 
962,0,62,50,34,1 
963,0,0,203,127,1 
964,3,60,40,37,1 
965,0,0,49,128,-1 
966,0,89,14,30,1 
967,0,0,61,114,-1 
968,0,0,49,145,-1 
969,109,0,27,18,1 
970,57,0,41,41,1 
971,36,76,22,14,1 
972,0,0,196,127,1 
973,0,0,51,94,-1 
974,69,0,40,24,1 
975,0,90,25,25,1 
976,95,0,37,24,1 
977,92,0,17,20,1 
978,0,0,195,131,1 
979,0,67,26,23,1 
980,0,0,44,105,-1 
981,0,0,52,110,-1 
982,31,50,45,28,1 
983,48,0,58,45,1 
984,0,0,49,154,-1 
985,0,0,50,131,-1 
986,0,0,53,111,-1 
987,0,53,34,40,1 
988,0,0,42,114,-1 
989,0,0,42,131,-1 
990,0,0,55,132,-1 
991,0,0,31,125,-1 
992,0,37,64,68,1 
993,67,0,25,24,1 
994,0,0,37,117,-1 
995,87,0,27,18,1 
996,0,0,50,113,-1 
997,0,124,17,18,1 
998,0,0,52,133,-1 
999,0,0,38,117,-1 
1000,18,0,87,74,1 
1001,0,68,22,18,1 
1002,0,73,41,52,1 
1003,0,0,187,129,1 
1004,0,0,53,127,-1 
1005,99,0,28,18,1 
1006,0,0,204,126,1 
1007,132,0,20,15,1 
1008,0,58,36,43,1 
1009,96,0,38,19,1 
1010,0,0,49,132,-1 
1011,0,0,48,118,-1 
1012,0,0,205,112,1 
1013,0,93,31,30,1 
1014,0,75,31,29,1 
1015,0,0,117,104,1 
1016,38,18,48,41,1 
1017,69,0,32,24,1 
1018,0,0,43,123,-1 
1019,0,0,39,136,-1 
1020,0,0,56,107,-1 
1021,0,0,218,119,1 
1022,0,68,25,26,1 
1023,0,81,17,21,1 
1024,0,0,43,122,-1 
1025,0,0,185,134,1 
1026,0,0,52,119,-1 
1027,55,0,39,34,1 
1028,0,0,54,129,-1 
1029,0,0,51,116,-1 
